"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Summary statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Ontario","2016A000235","Software publishers [51321]","Operating expenses","Dollars","81","millions","6","v100304111","7.1.2","3283.3","","","","1"
"2012","Ontario","2016A000235","Software publishers [51321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304112","7.1.3","1440.7","","","","1"
"2012","Ontario","2016A000235","Software publishers [51321]","Operating profit margin","Percent","239","units","0","v100304113","7.1.4","9.1","","","","1"
"2012","Ontario","2016A000235","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating revenue","Dollars","81","millions","6","v100304114","7.2.1","2449.3","","","","1"
"2012","Ontario","2016A000235","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating expenses","Dollars","81","millions","6","v100304115","7.2.2","2054.7","","","","1"
"2012","Ontario","2016A000235","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304116","7.2.3","678.9","","","","1"
"2012","Ontario","2016A000235","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating profit margin","Percent","239","units","0","v100304117","7.2.4","16.1","","","","1"
"2012","Ontario","2016A000235","Computer systems design and related services [54151]","Operating revenue","Dollars","81","millions","6","v100304118","7.3.1","18790.4","","","","1"
"2012","Ontario","2016A000235","Computer systems design and related services [54151]","Operating expenses","Dollars","81","millions","6","v100304119","7.3.2","16738.2","","","","1"
"2012","Ontario","2016A000235","Computer systems design and related services [54151]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304120","7.3.3","7515.9","","","","1"
"2012","Ontario","2016A000235","Computer systems design and related services [54151]","Operating profit margin","Percent","239","units","0","v100304121","7.3.4","10.9","","","","1"
"2012","Manitoba","2016A000246","Software publishers [51321]","Operating revenue","Dollars","81","millions","6","v100304122","8.1.1","45.1","","","","1"
"2012","Manitoba","2016A000246","Software publishers [51321]","Operating expenses","Dollars","81","millions","6","v100304123","8.1.2","41.3","","","","1"
"2012","Manitoba","2016A000246","Software publishers [51321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304124","8.1.3","32.3","","","","1"
"2012","Manitoba","2016A000246","Software publishers [51321]","Operating profit margin","Percent","239","units","0","v100304125","8.1.4","8.4","","","","1"
"2012","Manitoba","2016A000246","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating revenue","Dollars","81","millions","6","v100304126","8.2.1","43.6","","","","1"
"2012","Manitoba","2016A000246","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating expenses","Dollars","81","millions","6","v100304127","8.2.2","41.0","","","","1"
"2012","Manitoba","2016A000246","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304128","8.2.3","11.5","","","","1"
"2012","Manitoba","2016A000246","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating profit margin","Percent","239","units","0","v100304129","8.2.4","6.0","","","","1"
"2012","Manitoba","2016A000246","Computer systems design and related services [54151]","Operating revenue","Dollars","81","millions","6","v100304130","8.3.1","500.1","","","","1"
"2012","Manitoba","2016A000246","Computer systems design and related services [54151]","Operating expenses","Dollars","81","millions","6","v100304131","8.3.2","432.9","","","","1"
"2012","Manitoba","2016A000246","Computer systems design and related services [54151]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304132","8.3.3","231.9","","","","1"
"2012","Manitoba","2016A000246","Computer systems design and related services [54151]","Operating profit margin","Percent","239","units","0","v100304133","8.3.4","13.4","","","","1"
"2012","Saskatchewan","2016A000247","Software publishers [51321]","Operating revenue","Dollars","81","millions","6","v100304134","9.1.1","28.1","","","","1"
"2012","Saskatchewan","2016A000247","Software publishers [51321]","Operating expenses","Dollars","81","millions","6","v100304135","9.1.2","28.0","","","","1"
"2012","Saskatchewan","2016A000247","Software publishers [51321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304136","9.1.3","16.2","","","","1"
"2012","Saskatchewan","2016A000247","Software publishers [51321]","Operating profit margin","Percent","239","units","0","v100304137","9.1.4","0.5","","","","1"
"2012","Saskatchewan","2016A000247","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating revenue","Dollars","81","millions","6","v100304138","9.2.1","17.3","","","","1"
"2012","Saskatchewan","2016A000247","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating expenses","Dollars","81","millions","6","v100304139","9.2.2","16.9","","","","1"
"2012","Saskatchewan","2016A000247","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304140","9.2.3","","x","","","1"
"2012","Saskatchewan","2016A000247","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating profit margin","Percent","239","units","0","v100304141","9.2.4","2.5","","","","1"
"2012","Saskatchewan","2016A000247","Computer systems design and related services [54151]","Operating revenue","Dollars","81","millions","6","v100304142","9.3.1","443.3","","","","1"
"2012","Saskatchewan","2016A000247","Computer systems design and related services [54151]","Operating expenses","Dollars","81","millions","6","v100304143","9.3.2","370.3","","","","1"
"2012","Saskatchewan","2016A000247","Computer systems design and related services [54151]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304144","9.3.3","198.6","","","","1"
"2012","Saskatchewan","2016A000247","Computer systems design and related services [54151]","Operating profit margin","Percent","239","units","0","v100304145","9.3.4","16.5","","","","1"
"2012","Alberta","2016A000248","Software publishers [51321]","Operating revenue","Dollars","81","millions","6","v100304146","10.1.1","820.2","","","","1"
"2012","Alberta","2016A000248","Software publishers [51321]","Operating expenses","Dollars","81","millions","6","v100304147","10.1.2","662.1","","","","1"
"2012","Alberta","2016A000248","Software publishers [51321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304148","10.1.3","308.7","","","","1"
"2012","Alberta","2016A000248","Software publishers [51321]","Operating profit margin","Percent","239","units","0","v100304149","10.1.4","19.3","","","","1"
"2012","Alberta","2016A000248","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating revenue","Dollars","81","millions","6","v100304150","10.2.1","361.8","","","","1"
"2012","Alberta","2016A000248","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating expenses","Dollars","81","millions","6","v100304151","10.2.2","332.5","","","","1"
"2012","Alberta","2016A000248","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304152","10.2.3","110.0","","","","1"
"2012","Alberta","2016A000248","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating profit margin","Percent","239","units","0","v100304153","10.2.4","8.1","","","","1"
"2012","Alberta","2016A000248","Computer systems design and related services [54151]","Operating revenue","Dollars","81","millions","6","v100304154","10.3.1","3956.8","","","","1"
"2012","Alberta","2016A000248","Computer systems design and related services [54151]","Operating expenses","Dollars","81","millions","6","v100304155","10.3.2","3302.1","","","","1"
"2012","Alberta","2016A000248","Computer systems design and related services [54151]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304156","10.3.3","1496.1","","","","1"
"2012","Alberta","2016A000248","Computer systems design and related services [54151]","Operating profit margin","Percent","239","units","0","v100304157","10.3.4","16.5","","","","1"
"2012","British Columbia","2016A000259","Software publishers [51321]","Operating revenue","Dollars","81","millions","6","v100304158","11.1.1","1330.4","","","","1"
"2012","British Columbia","2016A000259","Software publishers [51321]","Operating expenses","Dollars","81","millions","6","v100304159","11.1.2","1296.8","","","","1"
"2012","British Columbia","2016A000259","Software publishers [51321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304160","11.1.3","651.1","","","","1"
"2012","British Columbia","2016A000259","Software publishers [51321]","Operating profit margin","Percent","239","units","0","v100304161","11.1.4","2.5","","","","1"
"2012","British Columbia","2016A000259","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating revenue","Dollars","81","millions","6","v100304162","11.2.1","519.0","","","","1"
"2012","British Columbia","2016A000259","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating expenses","Dollars","81","millions","6","v100304163","11.2.2","491.4","","","","1"
"2012","British Columbia","2016A000259","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304164","11.2.3","155.1","","","","1"
"2012","British Columbia","2016A000259","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating profit margin","Percent","239","units","0","v100304165","11.2.4","5.3","","","","1"
"2012","British Columbia","2016A000259","Computer systems design and related services [54151]","Operating revenue","Dollars","81","millions","6","v100304166","11.3.1","3676.4","","","","1"
"2012","British Columbia","2016A000259","Computer systems design and related services [54151]","Operating expenses","Dollars","81","millions","6","v100304167","11.3.2","3198.6","","","","1"
"2012","British Columbia","2016A000259","Computer systems design and related services [54151]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304168","11.3.3","1535.2","","","","1"
"2012","British Columbia","2016A000259","Computer systems design and related services [54151]","Operating profit margin","Percent","239","units","0","v100304169","11.3.4","13.0","","","","1"
"2012","Yukon","2016A000260","Software publishers [51321]","Operating revenue","Dollars","81","millions","6","v100304170","12.1.1","0.0","","","","1"
"2012","Yukon","2016A000260","Software publishers [51321]","Operating expenses","Dollars","81","millions","6","v100304171","12.1.2","0.0","","","","1"
"2012","Yukon","2016A000260","Software publishers [51321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304172","12.1.3","0.0","","","","1"
"2012","Yukon","2016A000260","Software publishers [51321]","Operating profit margin","Percent","239","units","0","v100304173","12.1.4","","..","","","1"
"2012","Yukon","2016A000260","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating revenue","Dollars","81","millions","6","v100304174","12.2.1","","x","","","1"
"2012","Yukon","2016A000260","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating expenses","Dollars","81","millions","6","v100304175","12.2.2","","x","","","1"
"2012","Yukon","2016A000260","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304176","12.2.3","","x","","","1"
"2012","Yukon","2016A000260","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating profit margin","Percent","239","units","0","v100304177","12.2.4","","x","","","1"
"2012","Yukon","2016A000260","Computer systems design and related services [54151]","Operating revenue","Dollars","81","millions","6","v100304178","12.3.1","6.3","","","","1"
"2012","Yukon","2016A000260","Computer systems design and related services [54151]","Operating expenses","Dollars","81","millions","6","v100304179","12.3.2","6.9","","","","1"
"2012","Yukon","2016A000260","Computer systems design and related services [54151]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304180","12.3.3","4.0","","","","1"
"2012","Yukon","2016A000260","Computer systems design and related services [54151]","Operating profit margin","Percent","239","units","0","v100304181","12.3.4","-9.2","","","","1"
"2012","Northwest Territories","2016A000261","Software publishers [51321]","Operating revenue","Dollars","81","millions","6","v100304182","13.1.1","0.0","","","","1"
"2012","Northwest Territories","2016A000261","Software publishers [51321]","Operating expenses","Dollars","81","millions","6","v100304183","13.1.2","0.0","","","","1"
"2012","Northwest Territories","2016A000261","Software publishers [51321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304184","13.1.3","0.0","","","","1"
"2012","Northwest Territories","2016A000261","Software publishers [51321]","Operating profit margin","Percent","239","units","0","v100304185","13.1.4","","..","","","1"
"2012","Northwest Territories","2016A000261","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating revenue","Dollars","81","millions","6","v100304186","13.2.1","","x","","","1"
"2012","Northwest Territories","2016A000261","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating expenses","Dollars","81","millions","6","v100304187","13.2.2","","x","","","1"
"2012","Northwest Territories","2016A000261","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304188","13.2.3","0.0","","","","1"
"2012","Northwest Territories","2016A000261","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating profit margin","Percent","239","units","0","v100304189","13.2.4","","..","","","1"
"2012","Northwest Territories","2016A000261","Computer systems design and related services [54151]","Operating revenue","Dollars","81","millions","6","v100304190","13.3.1","3.4","","","","1"
"2012","Northwest Territories","2016A000261","Computer systems design and related services [54151]","Operating expenses","Dollars","81","millions","6","v100304191","13.3.2","3.5","","","","1"
"2012","Northwest Territories","2016A000261","Computer systems design and related services [54151]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304192","13.3.3","1.4","","","","1"
"2012","Northwest Territories","2016A000261","Computer systems design and related services [54151]","Operating profit margin","Percent","239","units","0","v100304193","13.3.4","-2.8","","","","1"
"2012","Nunavut","2016A000262","Software publishers [51321]","Operating revenue","Dollars","81","millions","6","v100304194","14.1.1","0.0","","","","1"
"2012","Nunavut","2016A000262","Software publishers [51321]","Operating expenses","Dollars","81","millions","6","v100304195","14.1.2","0.0","","","","1"
"2012","Nunavut","2016A000262","Software publishers [51321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304196","14.1.3","0.0","","","","1"
"2012","Nunavut","2016A000262","Software publishers [51321]","Operating profit margin","Percent","239","units","0","v100304197","14.1.4","","..","","","1"
"2012","Nunavut","2016A000262","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating revenue","Dollars","81","millions","6","v100304198","14.2.1","","x","","","1"
"2012","Nunavut","2016A000262","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating expenses","Dollars","81","millions","6","v100304199","14.2.2","","x","","","1"
"2012","Nunavut","2016A000262","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304200","14.2.3","0.0","","","","1"
"2012","Nunavut","2016A000262","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating profit margin","Percent","239","units","0","v100304201","14.2.4","","..","","","1"
"2012","Nunavut","2016A000262","Computer systems design and related services [54151]","Operating revenue","Dollars","81","millions","6","v100304202","14.3.1","0.9","","","","1"
"2012","Nunavut","2016A000262","Computer systems design and related services [54151]","Operating expenses","Dollars","81","millions","6","v100304203","14.3.2","0.8","","","","1"
"2012","Nunavut","2016A000262","Computer systems design and related services [54151]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304204","14.3.3","0.2","","","","1"
"2012","Nunavut","2016A000262","Computer systems design and related services [54151]","Operating profit margin","Percent","239","units","0","v100304205","14.3.4","7.2","","","","1"
"2013","Canada","2016A000011124","Software publishers [51321]","Operating revenue","Dollars","81","millions","6","v100304038","1.1.1","7376.5","","","","1"
"2013","Canada","2016A000011124","Software publishers [51321]","Operating expenses","Dollars","81","millions","6","v100304039","1.1.2","6628.8","","","","1"
"2013","Canada","2016A000011124","Software publishers [51321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304040","1.1.3","3238.5","","","","1"
"2013","Canada","2016A000011124","Software publishers [51321]","Operating profit margin","Percent","239","units","0","v100304041","1.1.4","10.1","","","","1"
"2013","Canada","2016A000011124","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating revenue","Dollars","81","millions","6","v100304042","1.2.1","4080.4","","","","1"
"2013","Canada","2016A000011124","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating expenses","Dollars","81","millions","6","v100304043","1.2.2","3582.5","","","","1"
"2013","Canada","2016A000011124","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304044","1.2.3","1313.1","","","","1"
"2013","Canada","2016A000011124","Computing infrastructure providers, data processing, web hosting, and related services [51821]","Operating profit margin","Percent","239","units","0","v100304045","1.2.4","12.2","","","","1"
"2013","Canada","2016A000011124","Computer systems design and related services [54151]","Operating revenue","Dollars","81","millions","6","v100304046","1.3.1","40124.7","","","","1"
"2013","Canada","2016A000011124","Computer systems design and related services [54151]","Operating expenses","Dollars","81","millions","6","v100304047","1.3.2","35317.7","","","","1"
"2013","Canada","2016A000011124","Computer systems design and related services [54151]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v100304048","1.3.3","16508.7","","","","1"
